order,value,url,scrape_date,order_var
1,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T10:00:02Z,NA
2,Madonna's Celebration tour is a family affair,NA,2023-10-15T10:00:02Z,NA
3,Australia rejects historic Indigenous referendum,NA,2023-10-15T10:00:02Z,NA
4,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T10:00:02Z,NA
5,US actress Piper Laurie dies at 91,NA,2023-10-15T10:00:02Z,NA
6,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T10:00:02Z,NA
7,Afghanistan hit by third earthquake in a week,NA,2023-10-15T10:00:02Z,NA
8,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T10:00:02Z,NA
9,Fury outpoints KSI in unlicensed grudge match,NA,2023-10-15T10:00:02Z,NA
10,NZ set for right-wing coalition after National win,NA,2023-10-15T10:00:02Z,NA
1,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T10:04:19Z,NA
2,Madonna's Celebration tour is a family affair,NA,2023-10-15T10:04:19Z,NA
3,Australia rejects historic Indigenous referendum,NA,2023-10-15T10:04:19Z,NA
4,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T10:04:19Z,NA
5,US actress Piper Laurie dies at 91,NA,2023-10-15T10:04:19Z,NA
6,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T10:04:19Z,NA
7,Afghanistan hit by third earthquake in a week,NA,2023-10-15T10:04:19Z,NA
8,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T10:04:19Z,NA
9,Fury outpoints KSI in unlicensed grudge match,NA,2023-10-15T10:04:19Z,NA
10,NZ set for right-wing coalition after National win,NA,2023-10-15T10:04:19Z,NA
1,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T10:09:22Z,NA
2,Madonna's Celebration tour is a family affair,NA,2023-10-15T10:09:22Z,NA
3,Australia rejects historic Indigenous referendum,NA,2023-10-15T10:09:22Z,NA
4,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T10:09:22Z,NA
5,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T10:09:22Z,NA
6,US actress Piper Laurie dies at 91,NA,2023-10-15T10:09:22Z,NA
7,Who's behind Israel-Gaza disinformation and hate online?,NA,2023-10-15T10:09:22Z,NA
8,Afghanistan hit by third earthquake in a week,NA,2023-10-15T10:09:22Z,NA
9,The volunteers giving dignity to Israel’s dead,NA,2023-10-15T10:09:22Z,NA
10,NZ set for right-wing coalition after National win,NA,2023-10-15T10:09:22Z,NA
1,'I'm totally helpless' - husband of new mother missing after Hamas attacks,NA,2023-10-15T10:14:25Z,NA
2,Madonna's Celebration tour is a family affair,NA,2023-10-15T10:14:25Z,NA
3,Australia rejects historic Indigenous referendum,NA,2023-10-15T10:14:25Z,NA
4,Children among dead as convoy hit on Gaza evacuation route,NA,2023-10-15T10:14:25Z,NA
5,Bank boss warns world facing 'most dangerous time',NA,2023-10-15T10:14:25Z,NA
6,US actress Piper Laurie dies at 91,NA,2023-10-15T10:14:25Z,NA
