order_var,article_title,scrape_date
1,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T00:01:58Z
2,Donald Trump's sons defiant in NY fraud trial,2023-11-03T00:01:58Z
3,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T00:01:58Z
4,Author accused of faking own death pleads guilty,2023-11-03T00:01:58Z
5,Dozens of US birds to lose 'harmful' human names,2023-11-03T00:01:58Z
6,They called their mother; Hamas answered the phone,2023-11-03T00:01:58Z
7,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T00:01:58Z
8,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T00:01:58Z
9,Woman charged with murder in poison mushroom case,2023-11-03T00:01:58Z
10,Joe Biden calls for 'pause' in Gaza conflict,2023-11-03T00:01:58Z
1,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T00:06:59Z
2,Donald Trump's sons defiant in NY fraud trial,2023-11-03T00:06:59Z
3,Author accused of faking own death pleads guilty,2023-11-03T00:06:59Z
4,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T00:06:59Z
5,They called their mother; Hamas answered the phone,2023-11-03T00:06:59Z
6,Dozens of US birds to lose 'harmful' human names,2023-11-03T00:06:59Z
7,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T00:06:59Z
8,House passes Israel bill despite Biden veto threat,2023-11-03T00:06:59Z
9,Joe Biden calls for 'pause' in Gaza conflict,2023-11-03T00:06:59Z
10,Damage and disruption: Storm CiarÃ¡n in pictures,2023-11-03T00:06:59Z
1,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T00:12:00Z
2,Donald Trump's sons defiant in NY fraud trial,2023-11-03T00:12:00Z
3,Author accused of faking own death pleads guilty,2023-11-03T00:12:00Z
4,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T00:12:00Z
5,They called their mother; Hamas answered the phone,2023-11-03T00:12:00Z
6,Dozens of US birds to lose 'harmful' human names,2023-11-03T00:12:00Z
7,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T00:12:00Z
8,House passes Israel bill despite Biden veto threat,2023-11-03T00:12:00Z
9,Joe Biden calls for 'pause' in Gaza conflict,2023-11-03T00:12:00Z
10,Damage and disruption: Storm CiarÃ¡n in pictures,2023-11-03T00:12:00Z
1,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T00:17:01Z
2,Donald Trump's sons defiant in NY fraud trial,2023-11-03T00:17:01Z
3,Author accused of faking own death pleads guilty,2023-11-03T00:17:01Z
4,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T00:17:01Z
5,They called their mother; Hamas answered the phone,2023-11-03T00:17:01Z
6,Dozens of US birds to lose 'harmful' human names,2023-11-03T00:17:01Z
7,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T00:17:01Z
8,House passes Israel bill despite Biden veto threat,2023-11-03T00:17:01Z
9,Joe Biden calls for 'pause' in Gaza conflict,2023-11-03T00:17:01Z
10,Damage and disruption: Storm CiarÃ¡n in pictures,2023-11-03T00:17:01Z
1,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T00:22:01Z
2,Donald Trump's sons defiant in NY fraud trial,2023-11-03T00:22:01Z
3,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T00:22:01Z
4,Author accused of faking own death pleads guilty,2023-11-03T00:22:01Z
5,Dozens of US birds to lose 'harmful' human names,2023-11-03T00:22:01Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T00:22:01Z
7,Damage and disruption: Storm CiarÃ¡n in pictures,2023-11-03T00:22:01Z
8,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T00:22:01Z
9,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T00:22:01Z
10,Woman charged with murder in poison mushroom case,2023-11-03T00:22:01Z
1,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T00:27:02Z
2,Donald Trump's sons defiant in NY fraud trial,2023-11-03T00:27:02Z
3,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T00:27:02Z
4,Author accused of faking own death pleads guilty,2023-11-03T00:27:02Z
5,Dozens of US birds to lose 'harmful' human names,2023-11-03T00:27:02Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T00:27:02Z
7,Damage and disruption: Storm CiarÃ¡n in pictures,2023-11-03T00:27:02Z
8,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T00:27:02Z
9,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T00:27:02Z
10,Woman charged with murder in poison mushroom case,2023-11-03T00:27:02Z
1,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T00:32:03Z
2,Donald Trump's sons defiant in NY fraud trial,2023-11-03T00:32:03Z
3,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T00:32:03Z
4,Author accused of faking own death pleads guilty,2023-11-03T00:32:03Z
5,Dozens of US birds to lose 'harmful' human names,2023-11-03T00:32:03Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T00:32:03Z
7,Damage and disruption: Storm CiarÃ¡n in pictures,2023-11-03T00:32:03Z
8,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T00:32:03Z
9,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T00:32:03Z
10,Woman charged with murder in poison mushroom case,2023-11-03T00:32:03Z
1,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T00:37:04Z
2,Donald Trump's sons defiant in NY fraud trial,2023-11-03T00:37:04Z
3,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T00:37:04Z
4,Author accused of faking own death pleads guilty,2023-11-03T00:37:04Z
5,Dozens of US birds to lose 'harmful' human names,2023-11-03T00:37:04Z
6,House passes Israel bill despite Biden veto threat,2023-11-03T00:37:04Z
7,Damage and disruption: Storm CiarÃ¡n in pictures,2023-11-03T00:37:04Z
8,"Taylor Tomlinson, 29, fills James Corden's TV slot",2023-11-03T00:37:04Z
9,Nigeria lawmakers reject bid to buy presidential yacht,2023-11-03T00:37:04Z
10,Woman charged with murder in poison mushroom case,2023-11-03T00:37:04Z
1,Israelis face Hamas hit-and-run attacks from tunnels,2023-11-03T00:42:04Z
2,Donald Trump's sons defiant in NY fraud trial,2023-11-03T00:42:04Z
3,Author accused of faking own death pleads guilty,2023-11-03T00:42:04Z
4,Footballer DÃ­az's father 'kidnapped by rebels',2023-11-03T00:42:04Z
