"","order_var","article_title","n","mins","hrs"
"1",1,"Twins separated and sold at birth reunited by TikTok",165,825,13.75
"2",1,"Swedish alarm after defence chiefs' war warning",158,790,13.1666666666667
"3",1,"Protesters throw soup at Mona Lisa painting",139,695,11.5833333333333
"4",1,"Netanyahu publicly rejects US push for Palestinian state",136,680,11.3333333333333
"5",1,"King Charles diagnosed with cancer",135,675,11.25
"6",1,"No more easy deals for Russian convicts freed to fight",135,675,11.25
"7",1,"US delivers 'private message' to Iran after Yemen strikes",133,665,11.0833333333333
"8",1,"World's largest cruise ship sets sail from Miami",133,665,11.0833333333333
"9",1,"Oscars 2024: List of nominations in full",127,635,10.5833333333333
"10",1,"Huge ancient city found in the Amazon",124,620,10.3333333333333
"11",1,"Putin takes charge as Carlson gives free rein to Kremlin",123,615,10.25
"12",1,"Russia risked lives in downed plane, says Zelensky",116,580,9.66666666666667
"13",1,"Imran Khan and wife jailed for illegal marriage",112,560,9.33333333333333
"14",1,"US and UK launch fresh strikes on Houthis",110,550,9.16666666666667
"15",1,"FBI investigation after ex-A&F boss sex claims",105,525,8.75
"16",1,"Adele announces 'random' Munich residency",101,505,8.41666666666667
"17",1,"Judge blocks Musk's 'unfathomable' $56bn Tesla pay",99,495,8.25
"18",1,"Carroll to spend $83m on 'something Trump hates'",98,490,8.16666666666667
"19",1,"Navy Seals presumed dead after anti-Houthi mission",97,485,8.08333333333333
"20",1,"Trump's failed immunity appeal is a strategic win",95,475,7.91666666666667
"21",1,"'Drugged, robbed, killed': One city's deadly dating trap",92,460,7.66666666666667
"22",1,"Key Israeli war leader challenges Netanyahu over Gaza strategy",92,460,7.66666666666667
"23",1,"They were Israel's 'eyes on the border' - their warnings went unheard",90,450,7.5
"24",1,"Taylor Swift makes history at the Grammy Awards",89,445,7.41666666666667
"25",1,"Biden says he has decided US response to Jordan attack",86,430,7.16666666666667
"26",1,"Miss Japan steps down after tabloid exposes affair",82,410,6.83333333333333
"27",1,"Stunning shot of polar bear drifting to sleep wins award",82,410,6.83333333333333
"28",1,"Clapham suspect convicted of sex offence in 2018",80,400,6.66666666666667
"29",1,"The cancer doctor trying to stop his brain tumour killing him",80,400,6.66666666666667
"30",1,"News outlet's doctored MP photo causes sexism fury",79,395,6.58333333333333
"31",1,"Qatar 'appalled' by Netanyahu's reported criticism",79,395,6.58333333333333
"32",1,"Ron DeSantis quits presidential race and backs Trump",79,395,6.58333333333333
"33",1,"US drone kills Iran-backed militia leader in Baghdad",78,390,6.5
"34",1,"William visits Kate in hospital after surgery",77,385,6.41666666666667
"35",1,"Trump must pay $83.3m for defaming E Jean Carroll",75,375,6.25
"36",1,"Cancer doctor takes gamble to treat his brain tumour",74,370,6.16666666666667
"37",1,"Oil tanker on fire after Houthi missile attack, firm says",74,370,6.16666666666667
"38",1,"Three US troops killed in Middle East drone attack",73,365,6.08333333333333
"39",1,"Massive winter US storm expected to hit millions",71,355,5.91666666666667
"40",1,"Ukraine says it shot down Russian spy plane",71,355,5.91666666666667
"41",1,"Alabama carries out first US nitrogen gas execution",70,350,5.83333333333333
