"","order_var","article_title","n","mins","hrs"
"1",1,"Twins separated and sold at birth reunited by TikTok",165,825,13.75
"2",1,"Swedish alarm after defence chiefs' war warning",158,790,13.1666666666667
"3",1,"Protesters throw soup at Mona Lisa painting",139,695,11.5833333333333
"4",2,"Twins separated and sold at birth reunited by TikTok",137,685,11.4166666666667
"5",1,"Netanyahu publicly rejects US push for Palestinian state",136,680,11.3333333333333
"6",1,"King Charles diagnosed with cancer",135,675,11.25
"7",1,"No more easy deals for Russian convicts freed to fight",135,675,11.25
"8",1,"US delivers 'private message' to Iran after Yemen strikes",133,665,11.0833333333333
"9",1,"World's largest cruise ship sets sail from Miami",133,665,11.0833333333333
"10",1,"Oscars 2024: List of nominations in full",127,635,10.5833333333333
"11",1,"Huge ancient city found in the Amazon",124,620,10.3333333333333
"12",1,"Putin takes charge as Carlson gives free rein to Kremlin",123,615,10.25
"13",2,"Christie exits 2024 race with parting shot at Trump",122,610,10.1666666666667
"14",2,"Stunning shot of polar bear drifting to sleep wins award",120,600,10
"15",4,"Iran says US strikes are a 'strategic mistake'",120,600,10
"16",2,"Huge galaxy ring challenges thinking on universe",118,590,9.83333333333333
"17",1,"Russia risked lives in downed plane, says Zelensky",116,580,9.66666666666667
"18",1,"Imran Khan and wife jailed for illegal marriage",112,560,9.33333333333333
"19",2,"Duchess of York diagnosed with skin cancer",112,560,9.33333333333333
"20",3,"UK to loan back Ghana's looted 'crown jewels'",111,555,9.25
"21",1,"US and UK launch fresh strikes on Houthis",110,550,9.16666666666667
"22",3,"Shackled woman in Hungary court sparks Italy anger",110,550,9.16666666666667
"23",2,"What does it mean for William, Harry and the other royals?",109,545,9.08333333333333
"24",1,"FBI investigation after ex-A&F boss sex claims",105,525,8.75
"25",2,"Barbie misses key Oscar nods for Gerwig and Robbie",104,520,8.66666666666667
"26",2,"US approves plan for strikes on Iranian targets",104,520,8.66666666666667
"27",2,"Cancer doctor takes gamble to treat his brain tumour",103,515,8.58333333333333
"28",6,"What we know about US strikes in Iraq and Syria",103,515,8.58333333333333
"29",1,"Adele announces 'random' Munich residency",101,505,8.41666666666667
"30",3,"Dancer with allergy eats mislabelled cookie and dies",101,505,8.41666666666667
"31",3,"What does it mean for William, Harry and the other royals?",100,500,8.33333333333333
"32",10,"Liberia's new leader fails to end inauguration speech",100,500,8.33333333333333
"33",1,"Judge blocks Musk's 'unfathomable' $56bn Tesla pay",99,495,8.25
"34",2,"Judge threatens to kick Trump out of defamation trial",99,495,8.25
"35",2,"Passenger opens plane door and walks on wing",99,495,8.25
"36",1,"Carroll to spend $83m on 'something Trump hates'",98,490,8.16666666666667
"37",2,"Is North Korea's leader actually considering war?",98,490,8.16666666666667
"38",6,"Israeli war leader challenges Netanyahu over Gaza",98,490,8.16666666666667
"39",1,"Navy Seals presumed dead after anti-Houthi mission",97,485,8.08333333333333
"40",2,"An eccentric Danish queen abdicates - will others follow?",97,485,8.08333333333333
"41",5,"Did bodybuilding bring on my early perimenopause?",97,485,8.08333333333333
"42",1,"Trump's failed immunity appeal is a strategic win",95,475,7.91666666666667
