"","article_title","n","mins","hrs"
"1","Protesters throw soup at Mona Lisa painting",483,2415,40.25
"2","Twins separated and sold at birth reunited by TikTok",483,2415,40.25
"3","Swedish alarm after defence chiefs' war warning",458,2290,38.1666666666667
"4","Huge ancient city found in the Amazon",437,2185,36.4166666666667
"5","Stunning shot of polar bear drifting to sleep wins award",430,2150,35.8333333333333
"6","Liberia's new leader fails to end inauguration speech",403,2015,33.5833333333333
"7","Nigerian actor's children arrested over his medical bills",339,1695,28.25
"8","Taylor Swift deepfakes spark calls for US legislation",335,1675,27.9166666666667
"9","Inert nuclear missile found in US man's garage",329,1645,27.4166666666667
"10","World's largest cruise ship sets sail from Miami",328,1640,27.3333333333333
"11","Did bodybuilding bring on my early perimenopause?",314,1570,26.1666666666667
"12","King Charles diagnosed with cancer",313,1565,26.0833333333333
"13","I noticed a bulging lump sensation in my vagina",303,1515,25.25
"14","Is North Korea's leader actually considering war?",297,1485,24.75
"15","Huge galaxy ring challenges thinking on universe",291,1455,24.25
"16","Defamation defeat a double-edged sword for Trump",290,1450,24.1666666666667
"17","New Iceland eruption triggers state of emergency",288,1440,24
"18","They fled as lava spilled into town - and they may never return",288,1440,24
"19","'Drugged, robbed, killed': One city's deadly dating trap",284,1420,23.6666666666667
"20","Grammy Awards red carpet and ceremony in pictures",281,1405,23.4166666666667
"21","No more easy deals for Russian convicts freed to fight",280,1400,23.3333333333333
"22","Oscars 2024: List of nominations in full",279,1395,23.25
"23","Alec Baldwin charged again in fatal Rust shooting",278,1390,23.1666666666667
"24","Trump's federal trial on election meddling postponed",275,1375,22.9166666666667
"25","'Say you're sorry': Russia's trend for humiliating videos",274,1370,22.8333333333333
"26","Hunt to uncover story of mysterious shipwreck",273,1365,22.75
"27","Iran says US strikes are a 'strategic mistake'",268,1340,22.3333333333333
"28","BBC's Glenn Campbell: My brain cancer diagnosis was a total shock",264,1320,22
"29","Zelensky sacks Ukraine's commander-in-chief",263,1315,21.9166666666667
"30","The Emmys red carpet in pictures",262,1310,21.8333333333333
"31","What we know about US strikes in Iraq and Syria",261,1305,21.75
"32","Israel officials want Gaza destruction, court told",257,1285,21.4166666666667
"33","Miss Japan steps down after tabloid exposes affair",257,1285,21.4166666666667
"34","Passenger opens plane door and walks on wing",257,1285,21.4166666666667
"35","US delivers 'private message' to Iran after Yemen strikes",257,1285,21.4166666666667
"36","Illegal New York synagogue tunnel leads to 9 arrests",256,1280,21.3333333333333
"37","What do we know about the King's cancer diagnosis?",254,1270,21.1666666666667
"38","Imran Khan and wife jailed for illegal marriage",246,1230,20.5
"39","US approves plan for strikes on Iranian targets",243,1215,20.25
"40","What does it mean for William, Harry and the other royals?",243,1215,20.25
"41","Israeli war leader challenges Netanyahu over Gaza",242,1210,20.1666666666667
"42","Schwarzenegger detained over tax for luxury watch",240,1200,20
"43","Fierce row after sacking of ABC presenter over Gaza post",236,1180,19.6666666666667
"44","Taiwan just chose a president China loathes. What now?",232,1160,19.3333333333333
"45","Warning over children using viral skincare products",230,1150,19.1666666666667
"46","Fire on ship linked to Britain after Houthi attack",228,1140,19
"47","William visits Kate in hospital after surgery",228,1140,19
"48","Young Austrian heiress reveals €25m giveaway plan",228,1140,19
"49","Melania Trump gives eulogy at mother's funeral",227,1135,18.9166666666667
"50","Japan lands on Moon but glitch threatens mission",224,1120,18.6666666666667
"51","Downed Russian plane leaves unanswered questions",223,1115,18.5833333333333
"52","Judge threatens to kick Trump out of defamation trial",223,1115,18.5833333333333
