order,value,url,scrape_date
1,Inside the exhausted Gazan city with a million mouths to feed,,2023-10-15 18:35:39
2,Who's behind Israel-Gaza disinformation and hate online?,,2023-10-15 18:35:39
3,US actress Piper Laurie dies at 91,,2023-10-15 18:35:39
4,The volunteers giving dignity to Israel’s dead,,2023-10-15 18:35:39
5,Afghanistan hit by third earthquake in a week,,2023-10-15 18:35:39
6,Madonna's Celebration tour is a family affair,,2023-10-15 18:35:39
7,'I'm totally helpless' - husband of new mother missing after Hamas attacks,,2023-10-15 18:35:39
8,Ecuador chooses president during wave of violence,,2023-10-15 18:35:39
9,"What is happening in Israel and Gaza, and why now?",,2023-10-15 18:35:39
10,Fury outpoints KSI in grudge match,,2023-10-15 18:35:39
