order_var,value,url,scrape_date
1,Agent assigned to Naomi Biden shoots amid car break-in,,2023-11-14 03:55:53
2,David Cameron: I want to support PM at hard time,,2023-11-14 03:55:53
3,Trump Jr praises dad's 'genius' in return to stand,,2023-11-14 03:55:53
4,Harry to call as King celebrates his 75th birthday,,2023-11-14 03:55:53
5,Why Peter Nygard's son is supporting his accusers,,2023-11-14 03:55:53
6,"Trump's sister, Maryanne Trump Barry, dead at 86",,2023-11-14 03:55:53
7,US stamp sells for a record-breaking $2m,,2023-11-14 03:55:53
8,Bowen: Rumbling Middle East fault lines make this war different,,2023-11-14 03:55:53
9,US Supreme Court releases first-ever ethics rules,,2023-11-14 03:55:53
10,Iceland quake evacuees return to collect belongings,,2023-11-14 03:55:53
